City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Port Elizabeth,ZA,2022-02-12 19:58:46,-33.918,25.5701,73.69,94,100,5.75
252,Visnes,NO,2022-02-12 19:58:46,59.3556,5.2242,43.21,100,100,21.85
253,Acarau,BR,2022-02-12 19:54:45,-2.8856,-40.12,82.63,69,95,12.91
254,Majenang,ID,2022-02-12 19:58:47,-7.2975,108.7642,75.02,97,100,1.95
255,Tiarei,PF,2022-02-12 19:58:47,-17.5333,-149.3333,87.82,73,83,14.88
256,Sorland,NO,2022-02-12 19:58:47,67.667,12.6934,35.65,53,100,14.88
257,Vitim,RU,2022-02-12 19:58:48,59.4511,112.5578,-27.26,100,98,1.14
258,Ancud,CL,2022-02-12 19:55:16,-41.8697,-73.8203,80.22,63,77,5.79
259,Itau De Minas,BR,2022-02-12 19:58:48,-20.7394,-46.7522,74.35,87,57,6.2
260,Saldanha,ZA,2022-02-12 19:57:40,-33.0117,17.9442,66.29,86,100,11.74
261,Vershino-Darasunskiy,RU,2022-02-12 19:58:48,52.35,115.5167,-15.59,99,99,2.51
262,Rocha,UY,2022-02-12 19:56:04,-34.4833,-54.3333,66.02,94,100,18.12
263,Hualmay,PE,2022-02-12 19:58:49,-11.0964,-77.6139,75.36,69,38,10.8
264,Ghanzi,BW,2022-02-12 19:58:49,-21.5667,21.7833,71.87,56,10,7.27
265,Loukhi,RU,2022-02-12 19:58:49,66.0764,33.0381,8.73,89,39,6.6
266,Aiquile,BO,2022-02-12 19:58:49,-18.2041,-65.1807,58.3,94,100,5.95
267,Nioro,GM,2022-02-12 19:58:50,13.35,-15.75,82.9,10,3,7.43
268,Marawi,PH,2022-02-12 19:58:50,7.9986,124.2928,63.64,89,100,2.75
269,Oistins,BB,2022-02-12 19:55:01,13.0667,-59.5333,82.49,57,20,21.85
270,Kenora,CA,2022-02-12 19:58:50,49.8167,-94.4337,-8.21,57,75,4.0
271,Pouso Alegre,BR,2022-02-12 19:58:36,-22.23,-45.9364,75.6,79,22,3.18
272,Puerto Escondido,MX,2022-02-12 19:58:50,15.85,-97.0667,85.55,49,29,7.27
273,Roald,NO,2022-02-12 19:58:51,62.5833,6.1333,42.94,75,75,8.05
274,Katsuura,JP,2022-02-12 19:59:51,35.1333,140.3,37.51,58,36,3.42
275,Broken Hill,AU,2022-02-12 19:59:51,-31.95,141.4333,71.31,33,8,8.05
276,Cayenne,GF,2022-02-12 19:58:11,4.9333,-52.3333,80.64,88,75,12.66
277,Tanout,NE,2022-02-12 19:59:52,14.9709,8.8879,67.03,12,2,11.41
278,Broome,US,2022-02-12 19:59:52,42.2506,-75.833,43.18,61,74,14.0
279,Lavrentiya,RU,2022-02-12 19:59:52,65.5833,-171.0,-17.23,93,11,7.58
280,Shakawe,BW,2022-02-12 19:59:53,-18.3667,21.85,66.97,91,77,5.41
281,Padang,ID,2022-02-12 19:59:53,-0.9492,100.3543,76.48,82,95,4.23
282,Nuuk,GL,2022-02-12 19:59:53,64.1835,-51.7216,12.54,84,100,7.67
283,Newport,GB,2022-02-12 19:54:59,51.5877,-2.9984,48.85,89,100,1.01
284,Risor,NO,2022-02-12 19:59:53,58.7206,9.2342,43.29,97,100,26.98
285,Champerico,GT,2022-02-12 19:59:54,14.3,-91.9167,97.34,54,2,10.49
286,Mackenzie,CA,2022-02-12 19:59:54,55.2999,-123.1698,34.02,51,20,10.36
287,Chernyshevskiy,RU,2022-02-12 19:59:54,63.0128,112.4714,-12.42,99,100,0.38
288,Quelimane,MZ,2022-02-12 19:59:54,-17.8786,36.8883,78.75,94,75,0.0
289,Lodeynoye Pole,RU,2022-02-12 19:59:55,60.726,33.5531,27.99,94,100,9.69
290,Rutul,RU,2022-02-12 19:59:55,41.5357,47.4239,27.5,42,11,9.22
291,Saint Anthony,US,2022-02-12 19:59:55,45.0205,-93.218,5.11,62,100,6.91
292,Lima,PE,2022-02-12 19:56:13,-12.0432,-77.0282,77.14,61,0,8.05
