City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Copiapo,CL,-27.3667,-70.3333,63.59,81,0,1.97,clear sky
297,Ostrovnoy,RU,68.0531,39.5131,20.03,95,100,4.97,light snow
298,Sechelt,CA,49.4664,-123.7694,43.75,65,100,3.87,overcast clouds
299,Mackay,AU,-21.15,149.2,83.68,69,40,14.97,scattered clouds
300,Santa Maria Del Oro,MX,25.9333,-105.3667,38.52,52,15,2.62,few clouds
301,Cidreira,BR,-30.1811,-50.2056,70.38,88,9,10.0,clear sky
302,Holland,US,42.7875,-86.1089,16.3,85,100,4.61,mist
303,Meadow Lake,US,34.8014,-106.5436,41.23,34,4,2.66,clear sky
304,Guadalupe Y Calvo,MX,26.1,-106.9667,33.53,52,100,7.65,overcast clouds
305,Morristown,US,36.214,-83.2949,39.56,72,100,8.05,overcast clouds
306,Venado Tuerto,AR,-33.7456,-61.9688,51.89,66,0,2.46,clear sky
307,Vikulovo,RU,56.8167,70.6107,6.01,89,100,3.13,overcast clouds
308,Plettenberg Bay,ZA,-34.0527,23.3716,72.59,76,98,4.09,overcast clouds
309,Ternovka,RU,51.678,41.6375,18.45,92,22,12.01,few clouds
310,Kopavogur,IS,64.1123,-21.913,24.51,58,100,9.22,overcast clouds
311,Potsdam,DE,52.3989,13.0657,35.11,89,100,8.95,overcast clouds
312,Komsomolskiy,UZ,40.4272,71.7189,42.22,93,100,2.3,fog
313,Westport,US,41.1415,-73.3579,42.78,63,100,5.75,overcast clouds
314,Riyadh,SA,24.6877,46.7219,57.34,29,0,17.43,clear sky
315,Klyuchevskiy,RU,53.5317,119.4519,0.14,69,100,3.85,overcast clouds
316,Kaniama,CD,-7.5667,24.1833,70.12,89,100,2.42,overcast clouds
317,Aksarka,RU,66.5606,67.7975,-2.47,97,99,9.26,overcast clouds
318,Lompoc,US,34.6391,-120.4579,69.12,62,0,3.44,clear sky
319,Belyy Yar,RU,53.6039,91.3903,-7.71,77,84,0.0,mist
320,Puerto Escondido,MX,15.85,-97.0667,76.68,62,93,4.18,overcast clouds
321,Talnakh,RU,69.4865,88.3972,-4.72,74,21,9.24,few clouds
322,San Quintin,MX,30.4833,-115.95,63.25,46,67,4.23,broken clouds
323,Victoria,HK,22.2855,114.1577,66.18,86,100,4.0,overcast clouds
324,Reyes,BO,-14.3167,-67.3833,70.63,99,100,3.36,light rain
325,Willmar,US,45.1219,-95.0433,6.48,78,0,9.22,clear sky
326,Saskylakh,RU,71.9167,114.0833,-11.04,79,82,4.9,broken clouds
327,Qaqortoq,GL,60.7167,-46.0333,28.9,93,100,7.34,overcast clouds
328,Hervey Bay,AU,-25.2986,152.8535,75.31,75,9,18.66,clear sky
329,Touros,BR,-5.1989,-35.4608,79.7,83,13,6.64,few clouds
330,Bayir,TR,37.2687,28.2167,41.52,77,100,2.55,overcast clouds
331,Yarensk,RU,62.1675,49.0916,14.77,94,100,4.0,overcast clouds
332,Acapulco,MX,16.8634,-99.8901,76.82,78,100,2.3,overcast clouds
333,Taoudenni,ML,22.6783,-3.9836,56.97,26,0,13.0,clear sky
334,Ponta Delgada,PT,37.7333,-25.6667,62.51,100,75,13.8,mist
335,Jinxiang,CN,27.4327,120.6062,51.1,94,100,11.14,light rain
